,Models,Bulk_E_free,Bulk_heat_capacity,Bulk_entropy,Vacancy_E_free,Vacancy_heat_capacity,Vacancy_entropy,Vacancy_E_f,Split_E_f,Tetrahedral_E_f,Hexagonal_E_f,Vacancy_D_0,Vacancy_E_a,Interstitial_D_0,Interstitial_E_a,Lattice_const_A,C11,C12,C44,Bulk_modulus,Vacancy_RE_Magnitude_ROC,Vacancy_RE_Angle_ROC,Interstitial_RE_Magnitude_ROC,Interstitial_RE_Angle_ROC,Validation_E_RMSE,Validation_F_RMSE,EnhInterstitial_E_RMSE,EnhInterstitial_F_RMSE,EnhVacancy_E_RMSE,EnhVacancy_F_RMSE,Train_E_RMSE,Train_F_RMSE
0,GAI382-2,-0.0001211632396411,-0.504100837441611,0.2057221646286113,1.3706202475710598,0.930646099756856,1.5791798699924795,-0.0771733780385394,-0.1886024691377939,-0.0151062528423091,-0.3039693710376151,-1.410084710173041,-1.5228787452803376,-0.466936844203541,-1.0969100130080562,-0.3347255697058028,1.6978396690848658,1.6677804160397531,1.207252601597964,1.6749837589416383,-1.0921029581709196,-1.0216506100468243,-0.8958872688602189,-0.8484726050471945,0.673030182390734,-0.9327939304609528,0.5241087569135474,-1.111612319236934,0.5820711394331721,-1.067278572669227,0.8229427216000849,-0.9418217006047568
1,MTV358-9,-0.3983798304844884,-0.8728582243617004,-0.1684309943214972,1.24952658337829,0.6766738754460132,1.4564431685965185,-0.1560109128773051,-0.859857022080269,-0.0574857454668304,-0.3236718071910058,-1.8753992313164876,-1.6989700043360183,-0.5044399935202152,-0.9208187539523752,-1.135486187483702,0.6885481631241632,0.8399967678726188,1.07616267343812,0.5209232430264836,-1.111274412301014,-1.102523548489743,-0.7414005921092922,-0.7340235782650318,0.6887378226718953,-0.8972130989820135,0.7768271530974358,-0.9515550968254494,0.7476375223557066,-1.0426161597594508,0.898531653362094,-0.9318691238291728
2,MDtra,0.9343980279184884,1.0432131239396136,1.333490349529852,2.541981685555588,2.6211772370622146,2.914790340685825,-0.5138973072065585,0.1944778145462982,-0.3484547375616498,0.2792612039013207,-0.1235676080089826,-1.5228787452803376,-0.3628550801062422,-1.0969100130080562,-0.842987860905612,4.085544732089319,3.662055311568953,4.053669931019212,3.876011994677429,-0.811591664060605,-0.7114169855832584,-0.6081382860590654,-0.4804092810491364,0.8846020806072092,-0.6873173530824853,0.8449703700446094,-0.7065138699862135,0.9834724200696404,-0.734571538999947,0.7706784042604692,-0.7497639346846924
3,SNI19-31,-0.6787207302149881,-1.2088498702995034,-0.4708387073840993,1.3346655375189769,0.7802766543422441,1.5104429545902225,0.1252994026067307,0.0159585604848872,0.2253571575709236,0.1376565483695798,-0.2483383776380325,-0.8860566476931632,-2.531006045519879,-1.5228787452803372,-0.8747306528956881,1.556905365486979,0.6670593101667117,0.8882666779671038,1.1696899322568604,-0.9000073487343427,-0.8941400008881975,-0.6985408292642702,-0.6653986011034955,1.1473093080809404,-0.7261798972451053,1.097384637423538,-0.8152721723944917,1.1132152154604469,-0.8119261870462291,1.3136931444127555,-0.6880899792585097
4,MDV62,0.8393110070498818,0.5882999322903348,1.040615638041031,2.268188181208763,2.312984638030118,2.637769951243412,-0.6907569489970489,-0.2378322754716013,0.1684671588735042,-0.0684553391892529,-0.0568467551867316,-0.9586073148417747,-0.7169577824903502,-0.638272163982407,-0.9293791930863758,3.6628057617804015,3.7856335187001786,4.3084690311238685,3.5820058460143245,-1.1848044810803386,-1.1265281051960976,-0.6495110658876563,-0.5228787452803374,0.9183232440467906,-0.6319399467400241,0.8255410788860159,-0.8070657821705538,0.7096870923256032,-0.977740724986943,1.0120545399602192,-0.5964472806174603
5,PTV134,0.7720436342762282,0.1813559742050537,0.9606799176926756,1.7119175029015088,1.2022003064894022,1.8882853555961927,0.0559451645686197,-0.5452730834144199,-1.320904835579257,-0.059388731317986,-0.6425388847401675,-1.0969100130080562,-0.4810870675639205,-0.958607314841775,-0.4737648244828635,1.6630067196780582,1.6541819806775009,1.6652100844890267,1.177774600244447,-0.9709499527220172,-0.9169934333155012,-0.5927867927823975,-0.4511561846024514,0.93484882203881,-0.6756909976174817,0.9880474923678606,-0.7739507230849584,0.8411979089519336,-0.8602096720321093,1.0216484600737967,-0.6712102310900362
6,MDI151,0.2932181403159486,0.4966550945715035,0.7523577949361941,2.4637627774290376,2.586870064953772,2.864533869562345,-0.0738458867320031,-0.5685247094920933,-0.0698265844832838,-0.8107067243678584,-0.376387216088588,-1.045757490560675,-0.4545988154457387,-0.6020599913279624,-2.0,4.40004838490712,4.60855780127172,4.188437880115759,4.378553878871975,-0.714488931066293,-0.7184374418333146,-0.6859184367054276,-0.6572985857866052,1.3261255032321952,-0.4434879666154723,1.0024531734434474,-0.8693018394297566,1.0406504008586424,-0.6861147618792072,1.3637779890773007,-0.3962681623566955
7,MDI73,0.8981276161556272,1.1284645444597072,1.3595610857718052,2.5883122081834338,2.64335954697943,2.946686850762107,-0.0121171185270957,-0.4075286805927861,0.3568437201270273,-0.564227096914288,-0.1135336570476009,-1.154901959985743,-0.583663340028175,-0.8538719643217619,-1.6902239138324446,3.491496747333584,4.5405845240467775,4.600432779674313,3.9520696007588,-0.7574721857353122,-0.7389816893454964,-0.734289649329811,-0.6433692606988327,1.1240378727829554,-0.5186579329403196,0.7597695121117761,-0.9097030031332588,0.9418211500168868,-0.7278655576329112,1.0978749777393615,-0.4645687743397214
8,GAI287-6,0.0317697396971844,-0.4770386503416479,0.2299648683990196,1.5450713884520146,0.9848351653955988,1.7380962545309733,-0.0650292950646666,-0.1832150492115853,-0.0291241787817313,-0.2228825893639594,-0.7945772280629759,-1.3010299956639813,-0.3165279098433143,-0.9208187539523752,0.040633720228647,0.8846005835263984,1.8252394672434384,1.1475746765303951,1.620054097487709,-1.0740948028531183,-1.005086524690944,-0.8907056117175965,-0.8538719643217619,0.656365060802142,-0.9383768729439976,0.4977826670450623,-1.101337621607653,0.5713118244315069,-1.0580461072295082,0.8135919635282184,-0.943627043668482
9,GAO355-2,-0.480364037711849,-0.7085246674307131,-0.4153431821021773,1.2266172908633035,0.763994071392272,1.3784207536076418,-0.406451532599921,0.126980680415815,0.3030837946289842,0.2527755839577296,-0.7380147172157497,-1.0457574905606752,-1.074064840312055,-1.3010299956639813,-0.7883489821854833,0.6889168927778935,0.9671243538309692,1.238247311287645,0.9107575627219506,-1.0182248201061967,-0.932119334669704,-0.7554223946576311,-0.6545210470156969,1.0101560959091722,-0.90608621964183,1.0809195094392865,-0.948598851214454,0.7033641775674074,-1.0130802470408589,0.5685327857077371,-1.0407723651403082
10,PTV195,-0.5765953246512379,-0.8344400693371744,-0.3302565470140184,1.7861285564454863,1.5725170457620794,2.0705073490700334,-0.0349520323355795,-0.1725329330434651,-0.6543079786426914,-0.3882150130116107,-0.5731545202499302,-1.154901959985743,-0.4179508488262263,-1.0,-0.0644617038003574,2.3969064044881825,2.266589579083411,2.01763672662765,2.315207445904087,-0.9692838593158452,-0.938526864322546,-0.5927867927823975,-0.4228068941052566,1.1171092703258128,-0.6708286840849341,1.1271033367178471,-0.7857616669202523,0.8320162969857496,-0.8947386995679625,1.0510755449476177,-0.6160423166377668
11,SNV4-31,-0.325885971896585,-0.7367453134822477,-0.0965999736459005,1.443600794108132,0.9128374324272344,1.6429410015452517,0.2073878773374728,-0.1185280235733505,0.1850826034861918,-0.0869671831615682,-1.60097727525927,-1.5228787452803376,-0.0750579710228857,-0.6020599913279625,-0.2038809634723463,1.402075086633826,0.3192345838437035,1.437046273045171,0.8253814696907035,-0.8946064826536684,-0.8981211590945453,-0.6699647567885512,-0.6180033200696357,1.1078874084096348,-0.6879320929914805,1.2128036753643456,-0.7786603583245526,1.2036874330099407,-0.8134761656375357,1.3378417065541028,-0.6455526156976406
12,MTV185-13,-0.3675443740349596,-0.8803994547184743,-0.1515512946944063,1.2517696852076854,0.6672939917629865,1.450214422852999,-0.7551170687399116,-0.3556630315014902,0.1810081931215849,-0.1565494493050965,-1.0464117165912945,-1.5228787452803376,-0.0065765517773957,-0.4089353929735008,-1.3631830533220566,-0.1679545875789248,0.6038375200018257,-0.3889053157818571,0.4447490822079551,-1.2739318369835173,-1.2463225189995657,-0.8312495688150714,-0.6755663988037506,0.7801026735271697,-0.9165512158485516,0.8328737975476072,-1.0339875062972312,0.2153986773478878,-1.2089432052801612,0.5252216426060872,-0.967602627145602
