,Models,ModelName,Train,hex_Ef,spl_Ef,tet_Ef,vac_Ef
0,GAP,58-2,Org,-0.1125820661994354,0.3059898314644276,0.3169708503844327,-0.1456285778207497
1,GAP,53-4,Org,-0.275911081668829,-0.0326375779687245,-0.6411915909736438,0.3150345022874308
2,GAP,383-1,Org,0.6160601906032045,0.7027196040623569,0.820049546038805,-1.841054415234472
3,GAP,376-1,Org,0.7627881616338886,0.5809730463928743,0.8116588348653007,-2.043911423851561
4,GAP,166-2,Org,0.124415632953719,0.3836486321575593,0.2924483825908447,-0.7241105792561909
5,GAP,29-1,Org,-0.5142064600777244,-0.2099244983010008,-1.1200678982562706,1.456975920093711
6,GAP,54-3,Org,-0.02359201466452,0.134634052262494,-0.3844606877313116,0.051562037820155
7,GAP,286-1,IntEnh,-0.3825585754920049,0.2148602228718449,-0.0356054371624185,0.0583322281115658
8,GAP,287-2,IntEnh,-0.1772272989696278,0.2256733900422362,-0.0587562518913418,0.1835406531312195
9,GAP,382-5,IntEnh,-0.382830515509179,0.2168947025080441,-0.0170385698316019,0.138745410626967
10,GAP,190-6,IntEnh,-0.237560276611069,0.2031902399849172,-0.0262058488402488,0.1730210400540297
11,GAP,191-2,IntEnh,-0.1797055672264437,0.1947381761948768,-0.1087117881917199,0.2007976433052879
12,GAP,279-6,IntEnh,-0.3071211000732654,0.1883748775477688,-0.0189394648509718,0.180344667935256
13,GAP,88-2,IntEnh,-0.3601168152946345,0.0879564465864279,-0.0059180028687701,0.1983688197016009
14,GAP,381-4,IntEnh,-0.3768208695671629,0.1623527957095568,-0.0143421002095641,0.1434049343983716
15,GAP,189-3,IntEnh,-0.2885368995222988,0.121741764451822,-0.0658449003473455,0.1866358748801639
16,GAP,40-6,IntEnh,-0.2456662448708814,-0.2089831228150446,-0.1357728986522681,1.4537946445035168
17,GAP,89-3,IntEnh,-0.2058280954543294,0.0817225691126303,-0.0628675691443229,0.2540234438097548
18,GAP,285-5,IntEnh,-0.2850663879007184,0.2009088322867568,-0.0224383241981889,0.1156348806929149
19,GAP,94-5,IntEnh,-0.331811614888461,0.0596142342804604,-0.0297201928278373,0.1915727523391253
20,GAP,287-1,IntEnh,-0.2009365189354252,0.2172045374961937,-0.065935277566481,0.2024916581921514
21,GAP,89-6,IntEnh,-0.1927779765720586,0.0665953160873283,-0.0455002690912166,0.2788051733204927
22,GAP,191-4,IntEnh,-0.157426160168009,0.1886622472825583,-0.0880140270003045,0.2007948500605764
