,Keys,GAP,DPMD,SNAP,MTP,NNP,DPPT
0,Interstitial-RE_A|Interstitial-RE_M,0.124955890026968,0.380026530192009,0.4837078683852689,0.0072118431828719,0.3200540908158673,0.5113946897063671
1,Interstitial-RE_A|Vacancy-RE_A,1.8255536832061137,2.1462025249958376,2.0815029072940323,1.61877458805918,2.053631615236469,1.0000000000131023e-10
2,Interstitial-RE_A|Vacancy-RE_M,0.6006719026622933,0.9145871490464136,0.926755548354338,0.4601693857097856,0.8197398227215592,1.0970358125108204
3,Interstitial-RE_A|Interstitial-RE_E,0.3054491509664822,0.736366658447957,0.5232123937872838,0.1272461422127599,0.6714046104996378,0.4214482401897204
4,Interstitial-RE_A|Interstitial-RE_F,0.1334943944918008,0.4337479598916589,0.4651857880238209,1.2453553418645851e-05,0.3379795071486067,0.5091440877279128
5,Interstitial-RE_A|Vacancy-RE_E,0.8579046994320441,1.445612626018511,1.2839468316286708,0.7519227931794524,1.336766490634743,1.462494263837133
6,Interstitial-RE_A|Vacancy-RE_F,0.4407117071505418,0.7498663929784495,0.7455754428358046,0.2967387746916741,0.5993502422994652,0.8641401064355194
7,Interstitial-RE_M|Vacancy-RE_A,0.3435577963284901,0.4855021166995346,0.4520514136457997,0.2245164002443196,0.3910553902976806,0.7205227071717648
8,Interstitial-RE_M|Vacancy-RE_M,0.1104099565214186,0.1741576016146307,0.1908376757830492,0.0546323483316869,0.1530522880518605,0.308383454312765
9,Interstitial-RE_M|Interstitial-RE_E,0.0264512048936787,0.1420811695433437,0.114409615880687,4.080085532466914e-05,0.1137027982683327,0.1054136491912692
10,Interstitial-RE_M|Interstitial-RE_F,0.0098187190084227,0.0609886193785052,0.0874511645082655,1.113268138742048e-07,0.050255342426238,0.0918770821694955
11,Interstitial-RE_M|Vacancy-RE_E,0.1566053092008644,0.3228015177334927,0.2790446557567466,0.0749031924671391,0.24073477378317,0.3337213462010083
12,Interstitial-RE_M|Vacancy-RE_F,0.0807555943657874,0.137122546705851,0.1523496357173422,0.0254030426373744,0.112232796018576,0.1992095496121693
13,Vacancy-RE_A|Vacancy-RE_M,0.2528192276072918,7.816178477982167e-06,0.5605146685755631,0.0970774571208283,0.4610446591514147,0.4292309593519909
14,Vacancy-RE_A|Interstitial-RE_E,0.8170224298246862,0.9371230968075012,0.4720732638916465,0.7026262586840443,0.9256855070193646,1.164150781379088
15,Vacancy-RE_A|Interstitial-RE_F,0.3621064317382689,0.5131101567799078,0.4458712403476157,0.2434500081100025,0.4007560845473296,0.8317633397311899
16,Vacancy-RE_A|Vacancy-RE_E,0.4024265016908941,0.7476210339672096,0.7916585221456259,0.0855987810471506,0.8161081640219681,0.7421849978963029
17,Vacancy-RE_A|Vacancy-RE_F,0.1585509352609095,0.0876229708436918,0.4084064972783082,0.0009693665471403,0.3060631549755184,0.4295118604163957
18,Vacancy-RE_M|Interstitial-RE_E,0.2387816020607063,0.3277444133550801,0.2024316440549987,0.1734028273639691,0.3617674731495423,0.5292477424713058
19,Vacancy-RE_M|Interstitial-RE_F,0.1118019910826594,0.176488523590957,0.1873846482534465,0.0571353796790368,0.1591725503339333,0.3669339286936702
20,Vacancy-RE_M|Vacancy-RE_E,0.1020031045325235,0.1388954805835263,0.338470892694071,0.0103609093441415,0.2877870891381094,0.3293543571400486
21,Vacancy-RE_M|Vacancy-RE_F,0.0406848624776069,1.121046187618028e-06,0.1583116251181661,0.0001173369135898,0.1023608258165716,0.1559280828589561
22,Interstitial-RE_E|Interstitial-RE_F,0.0268510193640417,0.1732169287736315,0.1102545618857334,0.0001353395993014,0.1195015453315833,0.1133792279146055
23,Interstitial-RE_E|Vacancy-RE_E,0.3167413450401219,0.4471318007243431,0.4262076099484518,0.234838431642305,0.3716593032742505,0.445885463255849
24,Interstitial-RE_E|Vacancy-RE_F,0.1289045104930241,0.3094313878475986,0.1647458299176312,0.0815110134772738,0.2751746812163964,0.3467995292883205
25,Interstitial-RE_F|Vacancy-RE_E,0.1511917742437808,0.3519304686445053,0.271651781973027,0.0791827175217482,0.2634674788647402,0.3377845826014641
26,Interstitial-RE_F|Vacancy-RE_F,0.083683495459217,0.1340904398336865,0.1500132383669409,0.0257206525756851,0.1149725557869486,0.2012416958210015
27,Vacancy-RE_E|Vacancy-RE_F,0.0709661887517158,0.1851137614495887,0.2622155419382984,0.0001044022452854,0.2105234290437911,0.1979739153279948
28,Interstitial-RE_A|Interstitial-RE_M|Vacancy-RE_A|Vacancy-RE_M|Interstitial-RE_E|Interstitial-RE_F|Vacancy-RE_E|Vacancy-RE_F,0.0084414652749515,0.1691967808203673,0.0441165462252495,0.0020674316232031,0.0579536836364592,0.2878031410748129
