,Keys,GAP,DPMD,SNAP,MTP,NNP,DPPT
0,Interstitial-RE_A|Interstitial-RE_M,1.3043067375776265,1.4503768950667637,1.5144674421393425,1.245368766920557,1.4832505624657537,0.8080978862639888
1,Interstitial-RE_A|Vacancy-RE_A,1.7342138684847028,1.8337656814394117,1.9555741645726628,1.6423241654995453,1.9409002440020688,1.41421356238236e-05
2,Interstitial-RE_A|Vacancy-RE_M,1.354153482107962,1.522168611102284,1.5815227172517845,1.287034393385985,1.5559569620548437,1.2460987025269858
3,Interstitial-RE_A|Interstitial-RE_E,1.3167372127835533,1.4995630156881286,1.516700391925169,1.2495399041467623,1.512454241660886,1.3963665821655644
4,Interstitial-RE_A|Interstitial-RE_F,1.304836556558869,1.4577872880754672,1.511839916335041,1.2453553419104022,1.4850967299342637,0.9768505496967564
5,Interstitial-RE_A|Vacancy-RE_E,1.401539100697603,1.67994318800639,1.6513300458355993,1.3568260545318036,1.6364033316432718,1.6554298372958502
6,Interstitial-RE_A|Vacancy-RE_F,1.3306957958495178,1.4862951968968372,1.5490554378963006,1.2626000985747112,1.5139713675165407,1.3348871774534576
7,Interstitial-RE_M|Vacancy-RE_A,1.0602165313389202,0.8814125356806863,1.253843380381151,0.9271567998896068,1.2130915203360308,0.8080978862639888
8,Interstitial-RE_M|Vacancy-RE_M,0.3845645096389232,0.3697455710856188,0.5879711318751499,0.2516449674432414,0.4972339300398209,0.5419048232408815
9,Interstitial-RE_M|Interstitial-RE_E,0.1941746159322615,0.4757189861406147,0.4273127083213907,0.008008288545287,0.3880612715734126,0.4253281861619822
10,Interstitial-RE_M|Interstitial-RE_F,0.1395618139770069,0.3443262824495102,0.4182776319029934,0.0053601223887844,0.3172695489572066,0.4287428272245346
11,Interstitial-RE_M|Vacancy-RE_E,0.4704805434558193,0.668776967957994,0.7237401298542664,0.18148011379654,0.6239367829094093,0.683951735117808
12,Interstitial-RE_M|Vacancy-RE_F,0.2890735779623061,0.3456215829949583,0.4939729882141698,0.1845123755862724,0.4012482254962454,0.4830029351429748
13,Vacancy-RE_A|Vacancy-RE_M,1.0453066440884644,0.781617847857066,1.288852326735478,0.9021346133395488,1.2380372423728156,1.1455715441589758
14,Vacancy-RE_A|Interstitial-RE_E,1.1123176779146218,1.0139057403227654,1.2487801879073857,1.0435335628820452,1.262180835084389,1.3496474599210753
15,Vacancy-RE_A|Interstitial-RE_F,1.066471196452229,0.8897530672230595,1.2525690064652986,0.929723441175378,1.2152394313404786,0.9768505496967564
16,Vacancy-RE_A|Vacancy-RE_E,1.0846502702603211,1.0327572469811703,1.363292318625922,0.9006844641636027,1.348411859624427,1.258079542504831
17,Vacancy-RE_A|Vacancy-RE_F,1.0265170452366112,0.7896163027295449,1.2486451109102197,0.8955996862880525,1.2027031099914585,1.1433690057195307
18,Vacancy-RE_M|Interstitial-RE_E,0.4122140891330167,0.521135696680254,0.5765380115827616,0.3211737932571855,0.5766085825522539,0.6590206512116017
19,Vacancy-RE_M|Interstitial-RE_F,0.387001137045852,0.406229423859424,0.5851509336128703,0.2580440360152523,0.5024514105427436,0.5541458628962435
20,Vacancy-RE_M|Vacancy-RE_E,0.4439587435670212,0.5745943241413415,0.8009832682244542,0.1445133604143822,0.7021493503651244,0.6727249900606863
21,Vacancy-RE_M|Vacancy-RE_F,0.2917273716728014,0.1121046192070803,0.5766764638886408,0.1083992870448838,0.4713229415748708,0.4623271352268373
22,Interstitial-RE_E|Interstitial-RE_F,0.1968067099472485,0.5116414258074032,0.4215268841490243,0.0110598832479598,0.3979531500591788,0.4324908352419715
23,Interstitial-RE_E|Vacancy-RE_E,0.5503440826651923,0.7760689177776467,0.7297141666684445,0.5185884692914389,0.6952507591488949,0.7253409649551901
24,Interstitial-RE_E|Vacancy-RE_F,0.3249954922458336,0.5172861439553088,0.4807033002647921,0.2164152229370645,0.481017416886588,0.5720390899536232
25,Interstitial-RE_F|Vacancy-RE_E,0.4781164524646056,0.6965427623852813,0.7196390822744608,0.1939360326627775,0.6387678921686757,0.6859070221502123
26,Interstitial-RE_F|Vacancy-RE_F,0.2921016161985521,0.3608639384200708,0.4906127559233505,0.1931485221999394,0.4076959372343964,0.4944605568648058
27,Vacancy-RE_E|Vacancy-RE_F,0.3958250986086939,0.5928647311807945,0.7358933622988196,0.0955826806080381,0.6381417031897746,0.6135839666081639
28,Interstitial-RE_A|Interstitial-RE_M|Vacancy-RE_A|Vacancy-RE_M|Interstitial-RE_E|Interstitial-RE_F|Vacancy-RE_E|Vacancy-RE_F,1.886856921738758,2.09507219878269,2.257064902651213,1.7846852692048605,2.225856815724304,2.3551817372628325
