,Property,Rank,X,Y
0,bulk_free_energy,0.05597930997128819,180.76,639.02
1,bulk_entropy,0.05465294574059463,250.31,618.0
2,tet_bulkmodulus,0.053156905753327675,292.83,128.25
3,super_bulkmodulus,0.04995347351300048,394.01,422.09
4,spl_bulkmodulus,0.03533752763745593,185.0,231.63
5,tet_c12,0.03316437025431618,325.53,180.95
6,L2_mean,0.03276687902835407,454.11,736.37
7,spl_c12,0.03237965279555429,250.68,241.24
8,super_c12,0.031859543527294906,476.77,425.18
9,unit_a,0.02995162787200597,413.95,248.64
10,super_a,0.02995162787200597,485.16,238.0
11,hex_bulkmodulus,0.028531888002879008,256.57,202.45
12,vacancy_free_energy,0.02758821490893431,129.74,698.37
13,L3_mean,0.02572243269763659,512.15,699.91
14,L2_frequency,0.025201207651754563,466.58,813.78
15,tet_c11,0.023894259477332223,321.38,58.0
16,vacancy_entropy,0.02267027533788108,118.47,770.05
17,super_c11,0.0222566232468083,341.99,361.32
18,hex_c12,0.018823443462498438,177.29,170.2
19,L3_max,0.018523973709045252,556.33,638.0
20,hex_c11,0.0181135867539921,288.12,299.43
21,spl_c11,0.016860042234131272,208.93,305.05
22,vac_bulkmodulus,0.016346484806488794,405.56,503.0
23,vac_c12,0.015701260562732473,488.32,503.81
24,Interstitial_enhanced_F,0.015596761160244154,666.29,404.43
25,Vacancy_enhanced_E,0.014360832094607784,719.14,550.03
26,Vacancy_enhanced_F,0.013812858610235233,715.0,338.46
27,Interstitial_enhanced_E,0.012965777873061576,726.75,627.07
28,L2_max,0.012360526818816102,485.79,655.75
29,L1_frequency,0.011542462201101496,409.69,866.17
30,L1_mean,0.011226677801207811,401.48,792.7
31,L3_frequency,0.011090220006341602,424.45,672.77
32,vacancy_heat_capacity,0.010950313035063436,188.21,749.26
33,Vacancy_RE_M,0.010007328666487368,687.23,198.0
34,Interstitial_RE_F,0.009449642465471551,616.1,336.32
35,Interstitial_RE_E,0.009335730485579594,676.67,573.47
36,Vacancy_RE_F,0.009089214995008293,668.87,272.49
37,Interstitial_RE_M,0.008793806101732964,538.48,314.32
38,L1_max,0.008747910960359376,342.14,837.46
39,L4_mean,0.008312193026592711,446.23,168.64
40,bulk_heat_capacity,0.00786870823827417,239.3,689.84
41,Vacancy_RE_A,0.0073556213985506436,620.09,454.64
42,spl_c44,0.006814195581970003,139.58,345.94
43,Vacancy_RE_E,0.006208712311966574,688.39,485.2
44,hex_Ef,0.005640300802529316,635.18,540.62
45,vac_c11,0.005617816851177144,381.9,577.96
46,Interstitial_RE_A,0.005054891829750276,774.36,475.5
47,spl_Ef,0.004493072297427561,114.97,558.0
48,tet_Ef,0.004493072297427561,113.44,478.0
49,vac_Ef,0.004493072297427561,437.02,78.0
50,hex_c44,0.004493072297427561,222.14,418.0
51,tet_c44,0.004493072297427561,558.04,78.0
52,vac_c44,0.004493072297427561,681.63,18.0
53,super_c44,0.004493072297427561,128.79,98.0
54,spl_a,0.004493072297427561,30.367,398.0
55,hex_a,0.004493072297427561,52.926,278.0
56,tet_a,0.004493072297427561,668.83,98.0
57,vac_a,0.004493072297427561,52.415,198.0
58,L4_frequency,0.004493072297427561,242.61,498.0
59,L4_max,0.004493072297427561,517.44,158.0
