,Property,Rank,X,Y
0,super_c12,0.04233904099319251,345.65,212.55
1,bulk_entropy,0.03605008935687007,173.25,255.96
2,super_c44,0.03439634314408197,360.77,259.75
3,super_bulkmodulus,0.03437647971920458,350.09,123.56
4,vac_c12,0.03341156228168661,262.87,201.88
5,super_c11,0.03332380442320246,383.73,201.75
6,vacancy_entropy,0.03268461577185785,182.55,200.14
7,bulk_free_energy,0.02686430950829847,113.19,178.47
8,Vacancy_RE_M,0.026511025340188753,523.94,496.74
9,vacancy_free_energy,0.024837951191088718,89.737,221.2
10,vac_c11,0.023235703204210457,301.25,184.65
11,L2_mean,0.023018468619893047,363.27,764.39
12,Vacancy_enhanced_E,0.022490657064313246,280.92,463.82
13,vac_c44,0.021746564808906965,299.77,286.45
14,unit_a,0.021362367906884387,582.48,73.699
15,super_a,0.021053020402796288,529.6,130.6
16,Vacancy_RE_A,0.020891609434775478,447.75,520.81
17,hex_bulkmodulus,0.02054618103726087,475.43,272.39
18,vac_bulkmodulus,0.020450666100593616,269.48,112.97
19,Interstitial_RE_M,0.0201332292148063,403.67,564.6
20,Interstitial_enhanced_E,0.020044455863577906,302.69,543.85
21,tet_bulkmodulus,0.018908554071131088,503.89,205.16
22,vacancy_heat_capacity,0.01848930231574078,270.82,231.97
23,bulk_heat_capacity,0.018298147080361725,260.6,276.79
24,spl_c12,0.017078007682163075,392.12,255.83
25,tet_c11,0.016868964838450184,469.99,122.8
26,Vacancy_RE_F,0.016630888063678156,404.23,460.32
27,Vacancy_enhanced_F,0.015981509035226632,439.82,426.4
28,spl_bulkmodulus,0.015609072211451278,437.09,224.63
29,tet_c12,0.015520503075710233,413.49,173.44
30,hex_c11,0.01542125283716297,493.85,319.97
31,spl_c11,0.01489484785852222,442.74,264.76
32,Interstitial_RE_A,0.014648721226937353,415.31,524.52
33,L2_frequency,0.014313731757728777,426.94,755.68
34,Interstitial_RE_E,0.014175770898726554,329.49,506.71
35,Interstitial_enhanced_F,0.013751013014748284,428.85,482.05
36,L3_mean,0.013307095091042215,288.83,801.01
37,Vacancy_RE_E,0.013124465692880956,357.11,509.21
38,L4_frequency,0.013014200838189155,518.19,547.15
39,tet_c44,0.012616209538220693,452.6,183.51
40,hex_c12,0.012606747948310704,426.75,300.77
41,L4_mean,0.012148853819336376,500.12,614.1
42,Interstitial_RE_F,0.011990990962503214,473.78,476.04
43,hex_c44,0.011451791042761164,418.19,345.29
44,L2_max,0.0100006733837859,366.64,845.25
45,spl_c44,0.009937480778208881,362.78,313.95
46,L3_max,0.009837891449422695,294.08,880.33
47,L4_max,0.009050330235270031,492.55,564.05
48,L3_frequency,0.00846236462452795,308.06,725.57
49,L1_max,0.008086820648366883,407.06,608.67
50,L1_frequency,0.007219945229460502,479.08,736.41
51,vac_Ef,0.0057588831471925275,265.61,376.75
52,L1_mean,0.005352285879119976,393.52,690.99
53,hex_a,0.004875988836935038,631.68,18.0
54,spl_Ef,0.0034664249165058986,226.97,626.0
55,hex_Ef,0.0034664249165058986,613.53,402.0
56,tet_Ef,0.0034664249165058986,641.44,306.0
57,spl_a,0.0034664249165058986,638.37,626.0
58,tet_a,0.0034664249165058986,636.83,722.0
59,vac_a,0.0034664249165058986,160.41,722.0
