,Models,ModelName,SelectionType,TrainingData,hex_Ef,spl_Ef,tet_Ef,vac_Ef,spl_c11,spl_c12,spl_c44,spl_bulkmodulus,tet_c11,tet_c12,tet_c44,tet_bulkmodulus,hex_c11,hex_c12,hex_c44,hex_bulkmodulus,super_c11,super_c12,super_c44,super_bulkmodulus,vac_c11,vac_c12,vac_c44,vac_bulkmodulus,hex_a,spl_a,super_a,tet_a,unit_a,vac_a,L1_frequency,L1_mean,L1_max,L2_frequency,L2_mean,L2_max,L3_frequency,L3_mean,L3_max,L4_frequency,L4_mean,L4_max,Interstitial_RE_A,Interstitial_RE_M,Vacancy_RE_A,Vacancy_RE_M,Interstitial_enhanced_E,Interstitial_enhanced_F,Interstitial_RE_E,Interstitial_RE_F,Vacancy_enhanced_E,Vacancy_enhanced_F,Vacancy_RE_E,Vacancy_RE_F,bulk_free_energy,bulk_entropy,bulk_heat_capacity,vacancy_free_energy,vacancy_entropy,vacancy_heat_capacity
0,DFT,Threshold,,,0.5047502357517637,0.8551117095556063,-0.0607053786028791,-0.2805279735387086,-0.9530331355078538,-0.778269315084545,-1.1733960893919888,-0.9860351425073716,-0.4777849634478346,-0.3983128291756154,-0.53412191091777,-0.676861863717223,-1.5308362874666797,-0.8136399684851893,-0.8098329749939821,-0.8989634813064404,-1.3919490516512736,-0.9809594554267566,-0.8953207114553166,-1.0307755933249858,0.4129318887611417,0.2578520035603552,0.0593557340724717,-0.9438321348833714,-0.1345311034644628,0.0892427930393588,0.4549906644686403,-0.3450532641769584,1.8170547537258503,0.2962326542718373,-2.0677650701727845,-3.5027217730280134,-3.189244583612665,-1.7367173779136138,-2.9930452144050217,-3.073527470230326,-1.4389696925748092,-1.6163011752708656,-1.6345283137809246,-2.0022546591473818,-1.9982757468263368,-1.829761131419432,-1.990852662271208,-2.278330156748261,-0.9242860621375772,-1.2186026072531415,0.1513458718711835,-0.9861396728904204,0.9582655502750704,-1.8799606257732828,0.236209696278501,-0.7617793168172108,0.9886557807333236,-1.1608692410295751,-0.9011013167333588,-1.0230099516237523,-0.9041970353108898,0.0294665355217432,0.226656204976517,0.4114705562768457
1,GAP,183-3,s,Org,0.7802391457937436,0.6119541111129807,0.804912404318053,-1.120802571636924,-0.2889985957941218,-0.790659388367092,-0.4056800812300523,-0.4049802749783435,-0.0690904457987168,-0.6322081989022124,-0.2595926186823301,-0.2955287163029469,-0.1678755065197522,-0.7918239589365935,-0.626463756940218,-0.3565072238079206,-0.5331546488619555,-1.454948945473037,-1.374848045959069,-0.7862019802052996,-0.6272568441237492,-0.610939793890636,-0.9347481835097066,-0.5405231845667989,-0.956371370056423,-3.568859493480264,-0.3784901093367204,-1.396999401684384,-0.4525122252212659,-0.2490421817943748,-0.0267966855048628,0.2444181044732479,0.1408125396870211,0.2410275462159175,0.1949707454864123,0.0866774675523255,0.131329285200903,0.1439960272275783,0.0717929907460502,0.1135052035474852,0.0214212310354244,-0.018082478762898,-0.2379427902269012,-0.456562965755513,-0.9958061167002902,-1.1577117475154477,-0.340819894985792,-1.048930483838567,0.7350820212837655,-0.409590960112013,-1.175895652157623,-1.3073005675333802,-0.4804318298726611,-1.149233221406393,-1.4014891176012374,-1.1715105447626004,-1.077526202786587,-1.6580513299633388,-1.715457399544953,-0.6141980277490495
2,GAP,189-5,s,Org,0.8504017266589713,0.6005869242911106,0.7706898335251513,-1.1075947321283517,-0.2713093137782101,-0.618390278512959,-0.4001492911682571,-0.3235152154129941,-0.0671997415527603,-0.697402693740917,-0.2571977003618172,-0.2729979289775494,-0.1490245570792137,-0.8504830016166086,-0.5806903184435845,-0.3537492557323934,-0.4901395870530838,-0.993190888900056,-1.8156362426401755,-0.6254121364212575,-0.4545793381495812,-0.5926266731187828,-0.8609850190006039,-0.4567320142577577,-3.6133128988602623,-1.1977131123432825,-0.816413657021892,-2.3497754324641744,-0.8888602596941529,-0.2587089410053769,-0.0328357777316255,0.1985002992899326,0.1408125396870211,0.2782918380465517,0.2742217007722577,0.0866774675523255,0.052469303716339,0.1966902873943055,0.0717929907460502,0.0822999440206737,0.0709411889891419,-0.018082478762898,-0.1940423226132452,-0.530362488144838,-0.9958061167002902,-1.1824439727919096,-0.3367221233477944,-1.103529915323024,0.7500280024611213,-0.4750421696027658,-1.21922391662165,-1.3484959448161984,-0.5240350450728886,-1.1980536941952205,-0.9220666527771312,-0.8316679191672949,-0.9925294338926084,-1.1024941654182263,-0.8232879652433875,-0.5568507699627803
3,GAP,341-5,r,Org,0.5238938659391994,0.2613998609087962,0.0716202219379027,-0.3021337032366626,-0.177400453156105,-0.6732962422348231,-0.6155592231202227,-0.2832632705520775,-0.7102291167569573,-0.3257098711109414,-0.3331109250158937,-0.413749671644026,-0.2406536998632885,-0.587632421835787,-0.7087143492620046,-0.32669561108656,-0.4196950346519572,-0.9071606806630674,-0.7140841202337977,-0.5483248161660531,-0.6318338096566725,-0.5878659896334468,-0.9199304038886628,-0.5256117617263018,-0.2915434086675478,-0.9320941763015282,0.4406875942470184,-1.0574906060997196,0.3885875403808681,0.5387448496687607,-0.0267966855048628,0.2386386750545807,0.1408125396870211,0.3636693244768135,0.24956200330351,0.0866774675523255,0.1587237041402555,0.1907287388450656,0.0717929907460502,0.202358596997171,0.1160737456511084,-0.018082478762898,-0.2701155764695417,-0.5701646449712143,-0.5494334709432244,-0.6426369286829691,-0.4604940954770641,-0.7472003456589127,0.527923007378034,-0.5337894866652858,-0.7218117237048279,-0.7691585088248282,-0.0994548462157748,-0.8235989602443324,-1.7607353386386964,-1.8224528667168007,-0.888280634982281,0.0204158079189061,0.1737406910714309,0.2479829689638885
4,GAP,58-2,r,Org,-0.1125820661994354,0.3059898314644276,0.3169708503844327,-0.1456285778207497,-0.3515480277682815,-0.8234572481596493,-1.1080603349820908,-0.7074379348758142,-0.417167622173439,-0.4006858335156558,-0.3492156288931504,-0.7768076128811272,-0.4173354604129611,-0.8339270013427291,-0.5404641347176323,-0.5401292154770359,-0.2739746910876661,-1.163992219467854,-0.7854172506709521,-0.5198290760915947,-0.9294266521682232,-0.3978570278348052,-0.704861401904916,-0.4159508238263797,-0.5329443589074363,-2.2977417633528936,0.1482004384966167,-0.0853043211032271,0.0690129436547425,0.3932230217506096,-0.0450114553516398,0.3689646768096061,0.1408125396870211,0.4062226992820572,0.3019525368791977,0.0866774675523255,0.390971973508539,0.2340447586366885,0.0717929907460502,0.3045956475766761,0.1907160138695008,-0.018082478762898,-0.6891122351357085,-1.016743026413369,-0.8147901151430579,-0.7776934884975629,-0.6818209115545485,-1.0367835569584658,0.4507896850765738,-0.8504420899251971,-0.9091812215941656,-1.04095430613522,-0.1943379964736114,-0.8503995356612803,-1.379172399389044,-1.1051945286369331,-0.9138200412519892,-1.769729785362864,-1.191872103914385,-0.6323134628407064
5,GAP,289-2,r,Org,0.8808251376835983,1.1065254187529496,0.9382014563535742,-0.3933048229925541,-0.6535251956371666,-0.504757986375948,-0.561101198807015,-0.4531020284817785,-0.8098654160788231,-0.7232662290266446,-0.8554362379196705,-0.9578350108529972,-0.5818770852324103,-1.0019524082866276,-0.607815509522403,-0.7412548119506922,-0.4623179717483981,1.353869611617609,-0.2585683790080731,1.5328685845431147,-0.9797768492562606,-0.6128842587526845,-0.3846758128584118,-0.6377791661703002,0.0115704495403535,0.3297147045313465,0.1620460457558972,-0.3705166496392632,0.0842069853401822,-0.4443201887610118,-0.2453548925212886,-0.1153265505133044,0.0771105561526648,-0.4333687101177,-0.1891105569882048,-0.2022078507251849,-0.2415759411024043,-0.3393682467420235,-0.4990143027646151,-0.1250359715711016,-0.0559217165744217,-0.018082478762898,0.0513616770137495,-0.2413258417246613,0.2209371707915441,-0.0077099296544001,0.1074836736356187,0.2093947708420973,1.243362296825646,-0.3534069814768704,-0.6838427267852754,0.2555147401169581,-0.1334180632134333,-0.0969241689297601,0.7696131090928998,0.6867135539732204,0.2314793392693269,0.4876480334819383,0.396193141011891,-0.0128974640942896
6,GAP,91-4,r,Org,0.5799797004835814,0.4404159769894188,0.3589322335526575,-0.4090578668915802,-0.4923811984613849,-0.3659980974430366,-0.7382161879642464,-0.285102237402333,-0.0918943369802072,-0.8411366388547715,-0.2861132108447763,-0.1824665571177791,-0.3075219922624326,-0.4386469937764761,-1.7300643990795987,-0.2872281540434402,-0.902740544558281,-0.5098143445270343,-0.5183813827158941,-0.5372529085311686,-0.4171797453687025,-0.4263635919791246,-0.3779702565659098,-0.33638277277377,-0.1677205506163763,-0.0439561571367234,0.3431198056803242,0.0400077599151252,0.2822654885092504,0.2231230668230444,-0.1144237025507962,0.0710285111163915,0.1408125396870211,0.2410275462159175,0.2701757797393975,0.0866774675523255,-0.1674795920283549,0.1088607645480056,0.0717929907460502,-0.2237734004441368,0.0131266954168525,-0.1466207634053271,-0.4619084704508017,-0.9768066884057066,-0.8665732190713129,-1.2074214803365966,-0.6634370289469312,-1.1559983948494792,0.4147722632955107,-0.7902299427874581,-1.118343127817127,-1.2970494208872718,-0.4583328544501049,-1.36564035033548,-1.1897190703341929,-1.499987397264253,-0.7632985066295632,-1.367569146701828,-2.047627025027729,-0.7347849195086459
7,GAP,357-4,s,Org,0.5007651923685505,0.6778980413828452,0.7026480946087372,-1.260193471933283,-0.2966140430893189,-0.6756638045535187,-0.4612611823955735,-0.3460771485819136,-0.0917575554639434,-0.5945781783420386,-0.2785386360597523,-0.3415944417886954,-0.1953657356829931,-0.770783860447952,-0.8629494402892705,-0.3726773702584103,-0.4781938546493144,-0.8273580876315597,-0.8945463113832959,-0.5673759431756573,-0.3069191809200302,-0.4285460196990944,-0.7639441065311475,-0.2905483253968139,-1.421700594973765,-1.6889871677242867,-1.2062308548475682,-0.4269702962523146,-1.2497386412852878,0.060202167488642,-0.1144237025507962,0.236214549497481,0.1408125396870211,0.2301346731519812,0.2272076167759958,0.0866774675523255,0.1854846689998078,0.1858861732253236,0.0717929907460502,0.1513618513452108,0.0979662741163108,-0.018082478762898,-0.4227070744761974,-1.0706028724307324,-0.7651772131350689,-0.8492478666245733,-0.3984150419173278,-1.1717481697484626,0.6996438636461647,-0.7713966878073315,-1.258253078712947,-1.2249319001482737,-0.4677233775405336,-0.9071656910284378,-2.195401131783363,-1.6024679128815396,-1.06047322231244,-1.234350479075181,-1.719838413419572,-0.7800427238668817
8,GAP,288-4,s,Org,0.7500146022377862,0.9562928629726092,0.8896051200376859,-1.5707785855029308,-0.3952150304654515,-0.8437831361876331,-0.4975953235723963,-0.4466637746898002,-0.3603131084499047,-0.573654700278013,-0.2832433280927081,-0.9629824706439264,-0.3435476300329376,-0.6833441216477771,-1.2570699202367808,-0.4315020948440292,-0.5300473009664092,-1.1421887705718596,-0.5836203503433446,-0.8361905678789241,1.3987589676303769,1.2812558788882031,2.127171597117228,1.3065274859654827,0.0541757120449257,0.2292777086296584,0.0487195266184293,-0.3435954318554116,-0.0404001467062313,0.074634189901531,-0.095067212254095,0.2169971151938497,0.1408125396870211,0.2835096231143899,0.2865770081270336,0.0866774675523255,-0.0163049960512633,0.0934934751096176,0.0717929907460502,0.1135052035474852,0.1184475723734069,-0.018082478762898,-0.5840214850245395,-0.6346615245199984,-0.8393740207590914,-0.9961942719769832,-0.1608114301323754,-1.0491764914744974,0.9437969854150882,-0.6492153390645479,-1.3510077791128012,-1.2951955957033658,-0.5221438532473998,-1.0730954375568045,-0.3149804570965204,-0.4263745663194996,-0.479254356583934,-0.3728868244676092,-0.4386290328442904,-0.5406067696869808
9,GAP,94-2,s,Org,0.609196844879478,0.2189233244577534,0.6231877508003032,-0.7711115014167835,-0.6628100059093056,-0.6692991952892632,-0.4933052070342355,-1.0848534152503035,-0.2856848041988995,-0.5381275050610481,-0.2765176550725721,-0.7558449014526426,-1.7850082160756713,-1.11130139274543,-0.8826569640067257,-1.3376980850449558,-0.4734072113305509,-1.0626496186692742,-1.7067748589715193,-0.7842558656599666,-0.8463408718091101,-0.5342735881462467,-0.924564473458232,-0.5328225049480685,-0.6453623734730835,-0.7669810152190801,-0.4544373257929269,-3.584811794266373,-0.6036752527449977,0.0905474559160817,-0.0635240275109186,0.2382273086948226,0.1408125396870211,0.2990101357581689,0.3025584532567577,0.0866774675523255,0.1103493723636105,0.1772227525720845,0.0717929907460502,0.2165247172656852,0.1903743252888274,-0.018082478762898,-0.4843371378218731,-0.4972242325282764,-0.9597960714375032,-1.3686633935018784,-0.5881029067585589,-1.0641978337427072,0.5221191435585586,-0.4784702705034178,-1.1996865759937705,-1.2883555199993777,-0.5070480835986391,-1.381600893043937,-0.8898644954734299,-0.7927041311641568,-0.9268262919518676,-0.6841355124680395,-0.5341547710157635,-0.497267048398881
